2025-06-10 00:48:29,537 - INFO - UI - Replicação de dados iniciada
2025-06-10 00:48:29,920 - INFO - REPLICATION - Recarregando tarefa
2025-06-10 00:48:29,920 - INFO - REPLICATION - Recriando tabelas de metadata
2025-06-10 00:48:30,001 - INFO - TASK - cdc_department válido
2025-06-10 00:48:30,001 - INFO - TASK - Obtendo detalhes da tabela employees.department_manager
2025-06-10 00:48:30,023 - DEBUG - {'schema_name': 'employees', 'table_name': 'department_manager', 'estimated_row_count': 18, 'table_size': '40 kB', 'columns': ['employee_id', 'department_id', 'from_date', 'to_date']}
2025-06-10 00:48:30,023 - INFO - TASK - Obtendo detalhes da tabela employees.department
2025-06-10 00:48:30,029 - DEBUG - {'schema_name': 'employees', 'table_name': 'department', 'estimated_row_count': 0, 'table_size': '40 kB', 'columns': ['id', 'dept_name']}
2025-06-10 00:48:30,029 - INFO - TASK - Obtendo detalhes da tabela employees.the_office_season
2025-06-10 00:48:30,034 - DEBUG - {'schema_name': 'employees', 'table_name': 'the_office_season', 'estimated_row_count': 0, 'table_size': '8192 bytes', 'columns': ['id', 'season_number', 'description']}
2025-06-10 00:48:30,034 - INFO - TASK - Obtendo detalhes da tabela employees.eletronic_history
2025-06-10 00:48:30,038 - DEBUG - {'schema_name': 'employees', 'table_name': 'eletronic_history', 'estimated_row_count': 0, 'table_size': '8192 bytes', 'columns': ['id', 'date_acquisition']}
2025-06-10 00:48:30,038 - INFO - TASK - Obtendo detalhes da tabela employees.the_office
2025-06-10 00:48:30,043 - DEBUG - {'schema_name': 'employees', 'table_name': 'the_office', 'estimated_row_count': 0, 'table_size': '8192 bytes', 'columns': ['id', 'name', 'age', 'created_date']}
2025-06-10 00:48:30,043 - INFO - TASK - Obtendo detalhes da tabela employees.salary
2025-06-10 00:48:30,048 - DEBUG - {'schema_name': 'employees', 'table_name': 'salary', 'estimated_row_count': 2839947, 'table_size': '425 MB', 'columns': ['employee_id', 'amount', 'from_date', 'to_date']}
2025-06-10 00:48:30,053 - INFO - CDC STRATEGY - Iniciando CDC com intervalo de 3s
2025-06-10 00:48:30,435 - INFO - MESSAGE DLX - Consumer Esperando por mensagens
2025-06-10 00:48:30,481 - INFO - MESSAGE - Consumer Esperando por mensagens
2025-06-10 00:48:30,514 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:48:33,969 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:48:37,395 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:48:40,805 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:48:44,215 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:48:47,646 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:48:51,069 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:48:54,479 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:48:57,896 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:01,311 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:04,733 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:08,149 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:11,558 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:14,971 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:18,385 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:21,801 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:25,222 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:28,636 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:32,074 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:35,483 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:38,887 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:42,467 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:44,309 - INFO - ENDPOINT - Criando tabela employees.salary
2025-06-10 00:49:45,915 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:49,353 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:52,813 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:56,243 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:49:59,659 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:50:03,063 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:50:06,506 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:50:09,944 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:50:13,358 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:50:16,756 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
2025-06-10 00:50:20,155 - DEBUG - {'script_name': 'producer.py', 'exit_code': 0}
