lsn,xid,data
4/FF5B6988,1903,BEGIN 1903
4/FF5B6988,1903,table employees.employee: DELETE: id[bigint]:500000
4/FF5B7490,1903,table employees.employee: DELETE: id[bigint]:500001
4/FF5B74D8,1903,table employees.employee: DELETE: id[bigint]:500002
4/FF5B7550,1903,COMMIT 1903
4/FF5B7588,1904,BEGIN 1904
4/FF5B7588,1904,table employees.department: DELETE: id[character]:'d008'
4/FF5B7DB8,1904,table employees.department: DELETE: id[character]:'d010'
4/FF5B7E00,1904,table employees.department: DELETE: id[character]:'d009'
4/FF5B7E78,1904,COMMIT 1904
