lsn,xid,data
4/14D0BCC8,1231,BEGIN 1231
4/14D0BCC8,1231,table employees.department: DELETE: id[character]:'d008'
4/14D0BD10,1231,table employees.department: DELETE: id[character]:'d009'
4/14D0BD58,1231,table employees.department: DELETE: id[character]:'d010'
4/14D0BDD0,1231,COMMIT 1231
4/14D0BE08,1232,BEGIN 1232
4/14D0BE08,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110039 department_id[character]:'d001' from_date[date]:'1991-10-01' to_date[date]:'1993-10-03'
4/14D0C5F0,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110114 department_id[character]:'d002' from_date[date]:'1989-12-17' to_date[date]:'1991-12-19'
4/14D0C650,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110228 department_id[character]:'d003' from_date[date]:'1992-03-21' to_date[date]:'1994-03-23'
4/14D0C6B0,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110420 department_id[character]:'d004' from_date[date]:'1996-08-30' to_date[date]:'1998-09-01'
4/14D0C710,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110567 department_id[character]:'d005' from_date[date]:'1992-04-25' to_date[date]:'1994-04-27'
4/14D0C770,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110854 department_id[character]:'d006' from_date[date]:'1994-06-28' to_date[date]:'1996-06-30'
4/14D0C7D0,1232,table employees.department_manager: UPDATE: employee_id[bigint]:111133 department_id[character]:'d007' from_date[date]:'1991-03-07' to_date[date]:'1993-03-09'
4/14D0C830,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110039 department_id[character]:'d001' from_date[date]:'1991-10-01' to_date[date]:'9999-01-01'
4/14D0C890,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110114 department_id[character]:'d002' from_date[date]:'1989-12-17' to_date[date]:'9999-01-01'
4/14D0C8F0,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110228 department_id[character]:'d003' from_date[date]:'1992-03-21' to_date[date]:'9999-01-01'
4/14D0C950,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110420 department_id[character]:'d004' from_date[date]:'1996-08-30' to_date[date]:'9999-01-01'
4/14D0C9B0,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110567 department_id[character]:'d005' from_date[date]:'1992-04-25' to_date[date]:'9999-01-01'
4/14D0CA10,1232,table employees.department_manager: UPDATE: employee_id[bigint]:110854 department_id[character]:'d006' from_date[date]:'1994-06-28' to_date[date]:'9999-01-01'
4/14D0CA70,1232,table employees.department_manager: UPDATE: employee_id[bigint]:111133 department_id[character]:'d007' from_date[date]:'1991-03-07' to_date[date]:'9999-01-01'
4/14D0EE20,1232,COMMIT 1232
