$TREM_ROWNUM,$TREM_OPERATION,department_id,from_date,to_date
0,UPDATE,d001,1991-10-01,1993-10-03
1,UPDATE,d002,1989-12-17,1991-12-19
2,UPDATE,d003,1992-03-21,1994-03-23
3,UPDATE,d004,1996-08-30,1998-09-01
4,UPDATE,d005,1992-04-25,1994-04-27
5,UPDATE,d006,1994-06-28,1996-06-30
6,UPDATE,d007,1991-03-07,1993-03-09
7,UPDATE,d001,1991-10-01,9999-01-01
8,UPDATE,d002,1989-12-17,9999-01-01
9,UPDATE,d003,1992-03-21,9999-01-01
10,UPDATE,d004,1996-08-30,9999-01-01
11,UPDATE,d005,1992-04-25,9999-01-01
12,UPDATE,d006,1994-06-28,9999-01-01
13,UPDATE,d007,1991-03-07,9999-01-01
